Date,Open,High,Low,Close,Volume
2020-08-19,8.19,8.24,7.8,7.95,14500.0
2020-08-20,7.61,8.1,7.61,8.1,4500.0
2020-08-21,7.8,8.24,7.7,7.9,13500.0
2020-08-25,8.1,8.2,8.1,8.2,1000.0
2020-08-26,8.3,8.3,7.7,8.0,18000.0
2020-08-27,8.0,8.0,8.0,8.0,17000.0
2020-08-31,7.8,8.0,7.8,7.8,5000.0
2020-09-01,7.8,8.0,7.75,8.0,9000.0
2020-09-02,8.0,8.0,7.6,7.8,27000.0
2020-09-03,8.0,8.4,8.0,8.25,7000.0
2020-09-04,8.5,8.5,8.1,8.1,10000.0
2020-09-07,8.29,8.5,8.1,8.27,46000.0
2020-09-08,8.25,8.6,8.25,8.38,7500.0
2020-09-09,8.3,8.4,8.2,8.2,5500.0
2020-09-10,8.4,8.74,8.4,8.74,17000.0
2020-09-11,8.75,9.2,8.75,8.85,8000.0
2020-09-14,9.0,9.44,9.0,9.0,3000.0
2020-09-15,9.0,9.0,8.75,8.75,3000.0
2020-09-16,9.0,9.2,9.0,9.13,1500.0
2020-09-17,8.76,8.99,8.6,8.8,15000.0
2020-09-18,8.5,8.8,8.2,8.2,23000.0
2020-09-21,8.2,8.2,8.0,8.0,10500.0
2020-09-22,7.85,7.91,7.8,7.8,12000.0
2020-09-23,7.75,8.1,7.26,7.52,20500.0
2020-09-24,7.7,8.0,7.5,7.9,34500.0
2020-09-29,7.6,7.89,7.5,7.75,5000.0
2020-10-02,7.5,8.75,7.5,8.75,3000.0
2020-10-05,7.95,7.95,7.75,7.75,3000.0
2020-10-06,7.3,7.3,6.75,7.2,21000.0
2020-10-07,7.39,8.0,7.39,7.75,4000.0
2020-10-08,0.0,7.6,7.6,7.75,500.0
2020-10-09,8.0,8.0,8.0,8.0,500.0
2020-10-14,7.9,7.9,7.9,7.9,4000.0
2020-10-15,7.7,7.7,7.7,7.7,1000.0
2020-10-16,7.8,7.8,7.7,7.7,4000.0
2020-10-19,7.9,8.0,7.7,7.89,29000.0
2020-10-20,7.6,7.9,7.5,7.9,12000.0
2020-10-21,8.0,8.4,7.95,8.24,36500.0
2020-10-22,8.2,8.4,7.7,8.22,37500.0
2020-10-23,8.45,8.45,8.15,8.4,2000.0
2020-10-26,8.15,8.34,8.15,8.34,3000.0
2020-10-27,8.05,8.05,7.9,8.0,3500.0
2020-10-28,8.2,9.0,8.0,8.92,173500.0
2020-10-29,8.98,8.98,8.0,8.18,76000.0
2020-11-02,8.3,8.3,8.0,8.0,1000.0
2020-11-03,8.3,8.7,8.2,8.7,26000.0
2020-11-04,8.9,8.9,8.51,8.6,11500.0
2020-11-05,8.55,8.55,8.55,8.55,500.0
2020-11-06,8.89,9.2,8.89,9.0,40000.0
2020-11-09,9.0,9.19,8.85,9.19,3000.0
2020-11-10,9.07,9.51,9.0,9.36,56000.0
2020-11-11,9.6,9.86,9.4,9.79,93000.0
2020-11-12,9.95,10.25,9.51,10.01,134000.0
2020-11-13,10.1,10.6,10.1,10.46,43500.0
2020-11-16,10.11,10.11,10.05,10.05,14000.0
2020-11-18,9.75,9.75,9.75,9.75,500.0
2020-11-19,9.55,9.8,9.5,9.8,30000.0
2020-11-20,10.35,10.8,10.35,10.8,88000.0
